Payment measure name,Payment,Value of care category
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$18,666 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$18,517 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,776 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$21,384 ",Average mortality and average payment
Payment for pneumonia patients,"$15,977 ",Average mortality and average payment
Payment for pneumonia patients,"$16,409 ",Average mortality and average payment
Payment for heart attack patients,"$22,835 ",Average mortality and average payment
Payment for pneumonia patients,"$16,125 ",Average mortality and average payment
Payment for heart failure patients,"$15,770 ",Average mortality and average payment
Payment for pneumonia patients,"$17,898 ",Worse mortality and average payment
Payment for hip/knee replacement patients,"$22,398 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$14,854 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$26,231 ",Average complications and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,902 ",Average mortality and lower payment
Payment for heart attack patients,"$22,396 ",Average mortality and average payment
Payment for heart attack patients,"$22,068 ",Average mortality and average payment
Payment for heart attack patients,"$21,297 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,522 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,282 ",Average mortality and average payment
Payment for heart attack patients,"$22,343 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$18,955 ",Average mortality and average payment
Payment for heart failure patients,"$16,227 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,765 ",Average mortality and average payment
Payment for pneumonia patients,"$17,892 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,989 ",Average complications and lower payment
Payment for pneumonia patients,"$16,869 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$13,182 ",Average mortality and lower payment
Payment for pneumonia patients,"$14,432 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,723 ",Average mortality and average payment
Payment for heart failure patients,"$14,914 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,281 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,674 ",Average complications and lower payment
Payment for pneumonia patients,"$15,139 ",Worse mortality and lower payment
Payment for heart attack patients,"$22,014 ",Average mortality and average payment
Payment for heart failure patients,"$16,044 ",Average mortality and average payment
Payment for pneumonia patients,"$17,248 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,907 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$15,656 ",Average mortality and lower payment
Payment for heart attack patients,"$22,602 ",Average mortality and average payment
Payment for heart failure patients,"$16,420 ",Average mortality and average payment
Payment for pneumonia patients,"$15,625 ",Average mortality and average payment
Payment for pneumonia patients,"$13,497 ",Average mortality and lower payment
Payment for heart attack patients,"$22,340 ",Average mortality and average payment
Payment for pneumonia patients,"$16,360 ",Average mortality and average payment
Payment for heart attack patients,"$21,738 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$18,904 ",Average mortality and average payment
Payment for pneumonia patients,"$13,112 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,133 ",Average mortality and average payment
Payment for heart failure patients,"$14,786 ",Average mortality and average payment
Payment for pneumonia patients,"$19,239 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,720 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,863 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$19,638 ",Average mortality and lower payment
Payment for heart attack patients,"$22,952 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$18,237 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,811 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,113 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,668 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,358 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$19,671 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$18,834 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,191 ",Average complications and lower payment
Payment for heart attack patients,"$22,082 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,787 ",Average mortality and average payment
Payment for pneumonia patients,"$16,980 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,436 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,729 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$17,248 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,015 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$15,732 ",Average mortality and average payment
Payment for heart failure patients,"$15,958 ",Average mortality and average payment
Payment for pneumonia patients,"$16,497 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,727 ",Average complications and lower payment
Payment for heart attack patients,"$24,763 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,522 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$14,748 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,961 ",Average complications and lower payment
Payment for heart failure patients,"$15,498 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,601 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$12,552 ",Average mortality and lower payment
Payment for pneumonia patients,"$18,726 ",Average mortality and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,490 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,672 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,857 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,345 ",Worse mortality and higher payment
Payment for pneumonia patients,"$16,457 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,943 ",Average complications and lower payment
Payment for pneumonia patients,"$16,766 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,694 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$13,473 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$18,782 ",Average complications and lower payment
Payment for heart failure patients,"$14,678 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$15,629 ",Average mortality and average payment
Payment for pneumonia patients,"$15,751 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$21,697 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$21,114 ",Average mortality and average payment
Payment for heart attack patients,"$21,145 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$16,116 ",Average mortality and average payment
Payment for pneumonia patients,"$15,762 ",Average mortality and average payment
Payment for heart attack patients,"$22,032 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$13,772 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$22,018 ",Average complications and average payment
Payment for heart attack patients,"$22,994 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$15,563 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$21,523 ",Average mortality and average payment
Payment for heart failure patients,"$13,970 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$24,300 ",Average complications and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,372 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$21,209 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,053 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$15,387 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,373 ",Average mortality and average payment
Payment for heart attack patients,"$19,541 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$19,160 ",Average mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,503 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,004 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,469 ",Average mortality and average payment
Payment for pneumonia patients,"$14,059 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,542 ",Average mortality and average payment
Payment for heart failure patients,"$15,871 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$20,825 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$20,654 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$15,996 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$24,161 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$12,921 ",Average mortality and lower payment
Payment for heart failure patients,"$15,820 ",Average mortality and average payment
Payment for heart failure patients,"$15,774 ",Average mortality and average payment
Payment for heart failure patients,"$14,417 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,437 ",Average mortality and average payment
Payment for pneumonia patients,"$16,414 ",Average mortality and average payment
Payment for pneumonia patients,"$13,035 ",Average mortality and lower payment
Payment for heart failure patients,"$16,575 ",Average mortality and average payment
Payment for pneumonia patients,"$14,868 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,909 ",Average mortality and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$15,942 ",Average mortality and average payment
Payment for heart failure patients,"$15,000 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$22,229 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$12,160 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$18,145 ",Average mortality and higher payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,133 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,892 ",Average mortality and average payment
Payment for heart failure patients,"$16,329 ",Average mortality and average payment
Payment for pneumonia patients,"$15,929 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,024 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$22,287 ",Average complications and average payment
Payment for pneumonia patients,"$17,039 ",Average mortality and average payment
Payment for pneumonia patients,"$15,421 ",Average mortality and average payment
Payment for pneumonia patients,"$20,019 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$23,909 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$21,348 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$18,037 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$17,207 ",Average mortality and average payment
Payment for pneumonia patients,"$16,176 ",Average mortality and average payment
Payment for pneumonia patients,"$17,620 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,"$16,124 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,359 ",Average complications and lower payment
Payment for heart failure patients,"$16,521 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,409 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,649 ",Average mortality and average payment
Payment for heart failure patients,"$16,662 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$13,775 ",Average mortality and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$18,881 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$16,737 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$23,352 ",Average mortality and average payment
Payment for heart attack patients,"$20,266 ",Average mortality and lower payment
Payment for heart attack patients,"$22,574 ",Better mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$20,364 ",Average mortality and higher payment
Payment for heart failure patients,"$13,633 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$16,752 ",Average mortality and average payment
Payment for pneumonia patients,"$18,658 ",Worse mortality and higher payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$14,581 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$16,832 ",Worse mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,965 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,143 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$20,813 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$15,251 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$13,076 ",Average mortality and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,772 ",Average complications and average payment
Payment for heart failure patients,"$15,374 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,688 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,434 ",Average mortality and average payment
Payment for heart failure patients,"$16,197 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$16,497 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,103 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,090 ",Average mortality and average payment
Payment for pneumonia patients,"$18,208 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$16,956 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$14,666 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,435 ",Average mortality and average payment
Payment for pneumonia patients,"$17,513 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$24,055 ",Average mortality and average payment
Payment for pneumonia patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,349 ",Average mortality and average payment
Payment for heart attack patients,"$23,397 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,788 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$15,328 ",Average mortality and average payment
Payment for heart failure patients,"$15,700 ",Average mortality and average payment
Payment for pneumonia patients,"$16,503 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$21,009 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$20,272 ",Average mortality and higher payment
Payment for heart failure patients,"$16,876 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,"$17,682 ",Average mortality and average payment
Payment for heart failure patients,"$15,063 ",Average mortality and average payment
Payment for pneumonia patients,"$15,856 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,568 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$20,024 ",Average complications and lower payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,"$20,345 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$13,869 ",Average mortality and lower payment
Payment for pneumonia patients,"$14,723 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$22,485 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$44,673 ",Average complications and higher payment
Payment for heart attack patients,"$23,208 ",Average mortality and average payment
Payment for heart failure patients,"$15,715 ",Average mortality and average payment
Payment for pneumonia patients,"$16,090 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$27,240 ",Average complications and higher payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$15,175 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$17,560 ",Worse mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$16,442 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$15,153 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,686 ",Average complications and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,894 ",Average complications and average payment
Payment for pneumonia patients,"$19,067 ",Average mortality and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,686 ",Average complications and lower payment
Payment for pneumonia patients,"$16,356 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$23,902 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,"$14,279 ",Average mortality and lower payment
Payment for heart attack patients,"$23,045 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,168 ",Average complications and average payment
Payment for pneumonia patients,"$16,929 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart failure patients,"$17,217 ",Better mortality and higher payment
Payment for hip/knee replacement patients,"$21,086 ",Average complications and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$15,944 ",Average mortality and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart attack patients,"$24,333 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$18,085 ",Average complications and lower payment
Payment for hip/knee replacement patients,"$24,366 ",Average complications and average payment
Payment for heart failure patients,Not Available,Not Available
Payment for pneumonia patients,"$15,963 ",Average mortality and average payment
Payment for pneumonia patients,"$14,093 ",Average mortality and lower payment
Payment for hip/knee replacement patients,"$19,847 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$19,001 ",Average complications and lower payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$22,440 ",Average complications and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$23,571 ",Average complications and average payment
Payment for pneumonia patients,"$18,383 ",Average mortality and average payment
Payment for pneumonia patients,"$14,104 ",Average mortality and lower payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for hip/knee replacement patients,"$21,348 ",Average complications and lower payment
Payment for pneumonia patients,Not Available,Not Available
Payment for pneumonia patients,"$16,633 ",Average mortality and average payment
Payment for heart failure patients,"$14,901 ",Average mortality and average payment
Payment for pneumonia patients,"$14,525 ",Average mortality and lower payment
Payment for heart failure patients,"$17,035 ",Average mortality and average payment
Payment for heart attack patients,"$22,138 ",Average mortality and average payment
Payment for heart failure patients,"$14,449 ",Average mortality and average payment
Payment for heart attack patients,"$22,041 ",Average mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for heart failure patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,Not Available,Not Available
Payment for heart attack patients,"$22,208 ",Average mortality and average payment
Payment for heart attack patients,Not Available,Not Available
Payment for heart failure patients,"$17,113 ",Better mortality and average payment
Payment for hip/knee replacement patients,Not Available,Not Available
Payment for pneumonia patients,"$17,649 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,907 ",Average complications and lower payment
Payment for heart failure patients,"$18,009 ",Average mortality and higher payment
Payment for hip/knee replacement patients,"$28,757 ",Average complications and higher payment
Payment for heart attack patients,"$22,282 ",Average mortality and average payment
Payment for hip/knee replacement patients,"$19,190 ",Average complications and lower payment
Payment for heart failure patients,"$17,340 ",Average mortality and higher payment
Payment for heart failure patients,"$16,586 ",Average mortality and average payment
Payment for pneumonia patients,"$19,703 ",Average mortality and higher payment
Payment for heart failure patients,"$17,680 ",Average mortality and higher payment
